ablation,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss
full_causal_side_effect_model,80.0,0.628789,0.010817,0.630572,0.686876,0.009052,0.587809,0.002131,0.034715,0.002194,0.041908,0.002072,0.076858,0.208939,0.066381,0.714448,0.056609,0.082065
minus_side_effect_taxonomy,80.0,0.57612,0.01156,0.575108,0.589299,0.010165,0.438203,0.00215,0.071719,0.004555,0.050992,0.002908,0.084623,0.203385,0.078297,0.662211,0.106105,0.093398
minus_counterfactual_pairs,80.0,0.592656,0.011827,0.596233,0.622845,0.010314,0.516544,0.00217,0.054985,0.003233,0.0508,0.002934,0.092103,0.197829,0.075146,0.649448,0.077444,0.099424
minus_labeler_disagreement_weighting,80.0,0.60056,0.012064,0.599649,0.618658,0.010289,0.522436,0.002207,0.05124,0.003021,0.048244,0.00269,0.102479,0.196385,0.078775,0.577737,0.070839,0.138885
minus_delayed_effect_memory,80.0,0.604375,0.011212,0.604554,0.639312,0.009703,0.515591,0.002208,0.047119,0.002714,0.052416,0.003239,0.085433,0.197269,0.073122,0.682791,0.087675,0.088007
minus_benign_change_calibration,80.0,0.600117,0.011521,0.601921,0.628008,0.009682,0.558125,0.002202,0.060146,0.002475,0.045199,0.002351,0.14687,0.202265,0.075463,0.613976,0.064546,0.090516
minus_deployment_risk_budget,80.0,0.597044,0.01156,0.597061,0.64399,0.009824,0.555224,0.002203,0.046795,0.002836,0.050583,0.002936,0.083853,0.196105,0.071326,0.6835,0.06528,0.087981
minus_ambiguous_query_selector,80.0,0.60819,0.011457,0.606687,0.648064,0.009673,0.527492,0.002165,0.047189,0.002766,0.047937,0.002654,0.086448,0.16639,0.072187,0.670347,0.068697,0.093642
minus_constraint_aggregator,80.0,0.597682,0.01189,0.597286,0.626787,0.010639,0.537379,0.002138,0.061865,0.004208,0.072877,0.004914,0.077672,0.188385,0.077196,0.655845,0.06974,0.0939
old_v4_preference_model,80.0,0.596107,0.011174,0.594958,0.61761,0.009708,0.51917,0.00227,0.051732,0.002991,0.052868,0.003151,0.097993,0.223665,0.077157,0.616241,0.077815,0.11739
