budget,method,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,true_risk,estimated_risk,coverage,risk_breach,deploy_utility,deploy_utility_ci95,regret_to_oracle
0.07,success_only_policy,0,80,0.405599,0.015186,0.408399,0.270038,0.017893,0.106534,0.002016,0.188075,0.010996,0.126406,0.010241,0.095642,0.080889,0.129994,0.236759,0.183779,0.187623,0.265101,0.306441,0.0,0.0,0.077543,0.000582,0.507645
0.07,success_only_policy,1,80,0.417318,0.014633,0.407728,0.279498,0.01689,0.106488,0.002116,0.187785,0.010938,0.126292,0.01024,0.09512,0.080889,0.130237,0.236246,0.18436,0.186948,0.26491,0.305068,0.0,0.0,0.077476,0.000551,0.509103
0.07,success_only_policy,2,80,0.416406,0.014917,0.408345,0.278521,0.017537,0.106861,0.002319,0.18779,0.011316,0.126434,0.010132,0.094809,0.080889,0.130121,0.235031,0.18475,0.188405,0.265364,0.307356,0.0,0.0,0.077318,0.000548,0.507188
0.07,success_only_policy,3,80,0.408203,0.015006,0.408679,0.272237,0.01802,0.103579,0.002158,0.18703,0.011158,0.126831,0.010277,0.094186,0.080889,0.129197,0.237522,0.183051,0.187339,0.264478,0.305296,0.0,0.0,0.077642,0.000575,0.513107
0.07,success_only_policy,4,80,0.41263,0.011326,0.407254,0.276127,0.01413,0.106968,0.002285,0.187189,0.01137,0.126172,0.010074,0.094974,0.080889,0.13023,0.236436,0.184278,0.186679,0.264426,0.304829,0.0,0.0,0.077501,0.000543,0.502974
0.07,success_only_policy,5,80,0.406641,0.013017,0.407529,0.270973,0.015615,0.106107,0.002229,0.187401,0.011217,0.126129,0.010359,0.09424,0.080889,0.130348,0.236036,0.184664,0.187942,0.264861,0.305723,0.0,0.0,0.077449,0.00058,0.514802
0.07,success_only_policy,6,80,0.413411,0.013402,0.408539,0.275775,0.016242,0.103113,0.002074,0.18692,0.010943,0.12679,0.010356,0.095528,0.080889,0.130245,0.236884,0.184348,0.18838,0.264942,0.305579,0.0,0.0,0.077559,0.000567,0.505603
0.07,success_only_policy,7,80,0.401953,0.013038,0.409923,0.267889,0.015803,0.1058,0.002165,0.186885,0.011077,0.126174,0.010293,0.094391,0.080889,0.128973,0.238226,0.183568,0.187604,0.264219,0.305001,0.0,0.0,0.077734,0.000585,0.526133
0.07,success_only_policy,8,80,0.407813,0.014044,0.409383,0.272362,0.016772,0.105062,0.002393,0.186645,0.011282,0.125734,0.010203,0.095387,0.080889,0.129486,0.236632,0.182472,0.187592,0.263524,0.305691,0.0,0.0,0.077527,0.000556,0.515059
0.07,success_only_policy,9,80,0.406901,0.015423,0.408291,0.271079,0.017802,0.104296,0.002359,0.187479,0.011206,0.126312,0.010247,0.095059,0.080889,0.130141,0.238153,0.183925,0.187524,0.264726,0.304224,0.0,0.0,0.077724,0.000558,0.511229
